x,y,radius
0,0,0
10,24,26.0000991821
17,37,40.9299163818
20,43,47.8775482178
25,52,57.9159851074
26,57,63.3128166199
30,65,71.5892028809
28,74,79.588104248
25,83,87.1623077393
22,89,92.3181228638
8,101,93.8036499023
19,111,93.4754867554
20,126,93.1585693359
30,141,92.334564209
34,162,91.8493347168
38,185,91.6524581909
41,190,91.4818115234
46,216,91.3533706665
46,233,91.669342041
45,253,92.4748764038
44,276,93.4325942993
47,279,92.3540344238
54,287,89.6006011963
56,292,87.6428375244
58,296,85.6330337524
57,302,80.6102752686
56,305,77.8107681274
54,306,75.6737442017
52,311,71.1355361938
47,315,64.7476882935
43,317,60.1083335876
41,317,58.6899604797
37,316,56.679019928
36,315,56.8507804871
34,314,56.7032737732
30,310,57.2932052612
27,308,57.7062530518
23,303,60.0771331787
20,302,60.4070510864
15,298,62.8172950745
9,294,65.1959609985
5,293,65.7306060791
1,285,65.0077896118
1,280,61.508228302
1,269,59.5085029602
1,265,56.5089492798
1,260,54.5092735291
1,252,53.0095329285
1,245,54.0093574524
1,241,53.5094451904
1,238,53.5094451904
1,233,55.0091896057
1,229,55.5091056824
1,229,56.5089492798
1,230,58.0087203979
1,230,58.508644104
1,230,62.0081634521
1,231,63.5079727173
1,235,69.5162811279
1,237,73.0069503784
1,241,76.0149002075
1,244,79.5063858032
1,255,80.5140762329
1,267,81.5139007568
6,276,83.2166824341
18,283,78.2193450928
23,287,75.584487915
30,294,71.5892028809
34,304,64.2359924316
36,313,58.4124259949
36,320,53.0519599915
30,335,38.1084976196
18,349,20.3532314301
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
