X,Y,RADIUS
6.31993507,2.04050951,0.33356243381410394
6.3259482,2.04820725,0.32191462461141673
6.33449726,2.05821374,0.3130981716672531
6.35528592,2.09737101,0.26799452533155593
6.39488558,2.08871498,0.23462527144202117
6.40064149,2.08029988,0.23533378759866408
6.41546355,2.06542486,0.23468864597335068
6.42339763,2.04145567,0.23718735318002648
6.43499903,2.02412595,0.2388012252052266
6.44217223,1.99836954,0.24849942645676432
6.44763482,1.97140702,0.2498021347221642
6.44958273,1.88638298,0.2716398637360797
6.44439637,1.87746462,0.2686937318819339
6.45509401,1.87810529,0.25431702197599965
6.4788272,1.87387943,0.225370908007132
6.4845441,1.8731612,0.21934655300901074
6.48359002,1.86720813,0.22333471256947074
6.48453433,1.87783945,0.22122126535198477
6.48449096,1.87474093,0.22121681731256573
6.48099861,1.87076172,0.22757969777137924
6.47991085,1.87703861,0.2294802033035481
6.47400674,1.87654211,0.23974744680463606
6.46935891,1.87533467,0.24174248323342937
6.45443825,1.87988174,0.2622619868328101
6.42845227,1.88930723,0.2869599004325155
6.41690082,1.88290314,0.3013763523308235
6.39862998,1.89712626,0.3139579340659618
6.38122812,1.8965116,0.328159818953306
6.36985064,1.89527344,0.332256210823698
6.36390212,1.90627031,0.3363790115637904
6.399996,1.94513609,0.32261461096277777
6.41849311,1.98023648,0.3118254231091656
6.43081047,1.99835828,0.29520718163491694
6.43984406,2.04707516,0.26485164990514465
6.44361214,2.09538999,0.24112265100762165
6.43058121,2.13085031,0.21918410873571445
6.40516121,2.17971178,0.15741553695050547
6.35364035,2.23801427,0.08412979029873849
7.56033248,6.92380769,0.19437619490082833
7.55377776,7.01076217,0.2523877535199249
7.56071958,7.0431043,0.2691236508604045
7.5511562,7.11360034,0.28390692481246754
7.55527503,7.11885345,0.28398051685348463
7.55353435,7.12338249,0.28481149000513345
7.5541284,7.12312327,0.28478565792415034
7.55351139,7.12119523,0.28450173765836123
7.55133194,7.11317279,0.282737014216914
7.55275161,7.11362819,0.28294560343623776
7.55508291,7.1130694,0.28306352072005275
7.55381509,7.10975236,0.2840048839733877
7.55305364,7.11322754,0.2839978670468668
7.55382795,7.11340047,0.2843304900672635
7.55374561,7.11415727,0.28494605933268113
7.55494454,7.12150587,0.28984634778816215
7.55598283,7.11946566,0.28983851531036425
7.55441193,7.11618048,0.28988675021840127
7.55439452,7.12122271,0.2908376765595716
7.55470291,7.12101436,0.2907629969809171
7.55346914,7.11927995,0.2908616176026731
7.55189692,7.12069078,0.29155641458305886
7.55458525,7.12049208,0.2908096057640847
7.55408079,7.12325307,0.2915818133348428
7.55277948,7.12037484,0.2913027776779108
7.55286809,7.12407961,0.29224814251836684
7.55112292,7.1254556,0.2913405220853363
7.55269102,7.1241231,0.29203527924829037
7.55443285,7.11548783,0.2917688173870166
7.55336754,7.12481714,0.2930447986957506
7.5529295,7.11016453,0.29161627511554744
7.54955141,7.10875333,0.29172207374462084
7.54913097,7.12010963,0.29320833590492573
7.55134002,7.11745411,0.2936924492960971
7.55078992,7.13020325,0.29445339885660166
7.54621535,7.1357461,0.2954359587020171
7.55067298,7.12982375,0.29675807545694294
7.54464255,7.14473984,0.2973863581803205
7.54956567,7.13118645,0.2972529528539967
7.54602861,7.15313977,0.2986715315570176
7.55779793,7.13662829,0.2994208260670716
7.54800706,7.13620818,0.30021909811232733
7.5479431,7.12925002,0.2940942800752152
7.5492387,7.1333971,0.2922814414809944
7.54749608,7.13517737,0.29126311182776343
7.55019034,7.13350887,0.29005153778206744
7.54672386,7.12333077,0.2894323133511043
7.54244679,7.13669355,0.2890161730986169
7.55558027,7.13206239,0.2890366927426434
7.55089354,7.12201477,0.2894868714104524
7.53737808,7.14252005,0.2901080547631596
7.55221479,7.11946579,0.2907910513869503
7.55251529,7.11590395,0.29114119394514454
7.55131907,7.12104898,0.29268504635480963
7.54249636,7.11968969,0.29467669401214075
7.55159026,7.10782691,0.29928022475659033
7.54801666,7.10618827,0.2982097759549988
7.55328864,7.10617134,0.2974492075017052
7.54904755,7.10425143,0.2980109024864893
7.55272331,7.10452065,0.29686576073752396
7.54948772,7.10560987,0.2961406031306656
7.55223438,7.10285185,0.29630515987109673
7.54965197,7.10341312,0.2958084193131576
7.55279077,7.10316313,0.2955484630428162
7.55209928,7.10127277,0.29516519509400113
7.55254699,7.10332672,0.2946240394870837
7.54865799,7.1036652,0.29460929153102583
7.55526762,7.10191314,0.29473665740308935
7.5486265,7.1037674,0.294056149136903
7.55519814,7.10082536,0.293906736156962
7.55117182,7.10311035,0.2936677851867284
7.5532239,7.10707633,0.2879759945332083
7.55341547,7.10963049,0.28719809363316234
7.55528627,7.11000272,0.28680737621679264
7.55326525,7.11161043,0.2867226870429768
7.55616792,7.11417106,0.28615465872677426
7.55513414,7.11490341,0.28573082800631183
7.5582469,7.11854778,0.28562275498160694
7.55818352,7.11645053,0.28546103962568103
7.5589263,7.11743602,0.28516026897440255
7.55540096,7.11513421,0.285112943211104
7.55620681,7.11758415,0.2847761584404381
7.5550509,7.12164428,0.2846441997766343
7.55934333,7.11656263,0.28428019964712203
7.5561704,7.12193585,0.2842643718033542
7.55790902,7.11434641,0.28726811123527224
7.55257833,7.12428606,0.2877249103606432
7.55800365,7.12405683,0.287036017717368
7.55873456,7.12086471,0.28622001711282674
7.55273138,7.11544645,0.2871449240664698
7.56270274,7.16599,0.2838102124372155
7.55086199,7.21100809,0.27112989648960456
7.55642437,7.24283456,0.25456449978833134
7.55182844,7.29826146,0.215274497707165
7.55198829,7.37229694,0.08083729235553656
