id,X,Y,ORIENTATION
2,4.3179239,8.03999021,2.2999488259
2,4.31898153,8.04783399,2.2780068564
2,4.32024129,8.04735148,2.2773469859
2,4.32129826,8.04679516,2.272328934
2,4.31863998,8.05003663,2.2626236574
2,4.31609538,8.0504667,2.2605621735
2,4.31678571,8.05115713,2.2609825797
2,4.31909093,8.05611322,2.2548775055
2,4.31321509,8.05324175,2.2707917526
2,4.31643423,8.05122627,2.2713470116
2,4.31558776,8.05135144,2.2716395683
2,4.3147555,8.05422559,2.27082031
2,4.30494205,8.05261543,2.2776389314
2,4.31524172,8.05598802,2.2704168083
2,4.31488966,8.05418037,2.2726894229
2,4.31583359,8.04542114,2.2850203688
2,4.31519387,8.05428368,2.2810888256
2,4.30114646,8.04695052,2.3016129129
2,4.30693121,8.05354132,2.2848647318
2,4.31596693,8.05154403,2.2974984906
2,4.30680393,8.04887148,2.3038159683
2,4.31013767,8.04135608,2.3296107228
2,4.31431709,8.04972571,2.3059415255
2,4.31845813,8.04606381,2.2978158462
2,4.31844092,8.0473987,2.2959580886
2,4.32473415,8.04761659,2.300515246
2,4.3235452,8.05112392,2.2946980594
2,4.32368586,8.05083195,2.2976015873
0,4.29448118,8.55112855,4.041888892
2,4.34567548,8.0450561,2.2986720947
2,4.350199,8.04531819,2.2873584934
2,4.34542535,8.0449458,2.3081059093
2,4.34997402,8.04766413,2.280172302
2,4.34552046,8.04652741,2.2962052011
2,4.34725371,8.04482495,2.3022255445
2,4.34452799,8.04026111,2.3293680797
2,4.33949944,8.04604673,2.3069314121
2,4.33857523,8.04292099,2.3041977492
2,4.33132135,8.05057123,2.2985034799
2,4.32896693,8.05052301,2.3026137316
2,4.3230473,8.06099176,2.2723893249
2,4.32412627,8.05263649,2.3048947993
2,4.31778589,8.0500333,2.3150296827
2,4.31702663,8.04938541,2.3085568517
2,4.31380182,8.05153411,2.2988552705
2,4.30627956,8.06252601,2.2588702272
0,3.34715822,4.09092312,2.6437998115
2,4.30028385,8.05790673,2.2824395144
2,4.30589276,8.04973513,2.3158964746
2,4.29731455,8.04276263,2.3554957332
2,4.29916758,8.05310358,2.2958887939
2,4.29822241,8.0543044,2.3013998897
2,4.29343087,8.05053118,2.3161601075
2,4.30103765,8.05164759,2.2957604804
2,4.28734292,8.0563569,2.2960986526
2,4.29989001,8.05153728,2.303771116
2,4.28729793,8.05543823,2.2918694491
2,4.29477437,8.05270627,2.2851875543
2,4.29301763,8.05851634,2.2723683346
2,4.30036697,8.04977976,2.3240161401
2,4.31502545,8.07699493,2.1518207225
1,3.89143092,8.29901077,3.3740548817
2,4.27627286,8.03242236,2.3958869345
2,3.87970467,8.02308834,2.3245751913
1,0.86545719,5.49172174,1.3720494307
0,1.47963816,5.03324203,3.2502818768
1,0.85731235,5.48124749,1.3810460444
1,0.8517598,5.48386877,1.360927011
1,0.86975982,5.48202659,1.4147120551
1,0.84855034,5.4984268,1.3431241335
1,0.86641039,5.50038166,1.3537079552
1,0.86256546,5.49488255,1.3626386897
1,0.8635322,5.490623,1.3552147399
1,0.87145275,5.49638654,1.3778424612
1,0.86133816,5.50008169,1.3318556726
1,0.87125467,5.49735508,1.3609367488
1,0.86371515,5.5001669,1.3591739356
1,0.89116055,5.486585,1.4401700729
1,0.88248412,5.49185269,1.4036661514
1,0.86217434,5.51268375,1.3202323733
1,0.85982431,5.50522512,1.3345733736
0,1.59319601,5.1222791,2.1515502253
1,0.873329,5.49994365,1.374090297
0,2.02818482,4.92478302,-0.865240623
1,0.88040347,5.49533824,1.4201731753
1,0.88240214,5.49250667,1.4210829767
0,1.45712132,6.12382235,-1.572303991
0,1.0047977,5.26377461,3.7073672731
1,0.89379148,5.48295999,1.4968329634
1,0.89551286,5.48608014,1.4915738962
1,0.88515836,5.49452772,1.4469685475
1,0.8912928,5.49014195,1.4734664535
1,0.88439766,5.49207893,1.472882561
1,0.89876722,5.47862285,1.5240670026
0,1.19134896,5.12450846,3.951386639
1,0.88903017,5.48800554,1.4952945696
1,0.89529129,5.4828924,1.502356222
1,0.88596874,5.48743066,1.5004754961
1,0.89696912,5.48291701,1.4886297842
1,0.89689999,5.47707557,1.5599945873
1,0.88321581,5.4887088,1.4543864066
0,1.54180078,5.08475136,4.5471445979
1,0.87621728,5.48416768,1.4720747312
1,0.89064923,5.475579,1.4701574201
1,0.87663434,5.48917399,1.468003833
1,0.89040257,5.47683421,1.460543209
1,0.86934276,5.50080594,1.443006912
1,0.87973959,5.49426837,1.4443496781
1,0.86955118,5.50008678,1.4221471724
1,0.88766198,5.48440782,1.4594362661
1,0.86709119,5.50135114,1.4207554375
1,0.87123321,5.50787582,1.4152796075
1,0.87132724,5.48762567,1.431901427
1,0.94323158,5.42393137,1.7264065456
0,2.13498894,5.45001982,3.2636467853
1,0.7098385,5.79425551,0.9632029871
1,0.85904408,5.52567374,1.4179903566
1,0.86624822,5.52365625,1.38598204
1,0.87340704,5.51520437,1.4278841964
1,0.88252388,5.50212261,1.4549936611
1,0.82825916,5.53430779,1.2571142563
1,0.8877007,5.47983323,1.4951670734
1,0.89350319,5.48046335,1.5198334308
1,0.88087528,5.48764219,1.442281903
1,0.88806468,5.47772636,1.4673884836
1,0.86014896,5.50770798,1.3689601958
1,0.87168967,5.49330173,1.4105765216
1,0.87906247,5.4911373,1.4396892641
1,0.96243488,5.40920804,1.8896486416
1,0.88122146,5.47671106,1.4479091603
1,0.87758213,5.47556511,1.427258369
