X,Y
2.20349913,7.31824299
2.20527421,7.30630824
2.21634201,7.3214048
2.21608822,7.31257343
2.22071974,7.31711773
2.22604983,7.31514275
2.22993488,7.28721346
2.23177439,7.2163903
2.21670818,7.19193795
2.19965819,7.19051914
2.18120679,7.20179622
2.15327924,7.21872615
2.11970063,7.26581254
2.11056532,7.27665394
2.10904829,7.32939878
2.15158912,7.32354204
2.19028776,7.31473332
2.20384208,7.30973381
2.20305949,7.3092763
2.19825169,7.3111287
2.20048793,7.29341966
2.18903763,7.26940775
2.19785275,7.22084149
2.19393583,7.16992087
1.3982187,2.6403092
1.40467786,2.62639004
1.39951382,2.61916282
1.39723468,2.61317932
1.4006946,2.62120873
1.39747144,2.62774794
1.41389084,2.60788698
1.42115348,2.56040828
1.41511701,2.51042819
1.41306085,2.50742219
1.4166977,2.50382464
1.41233819,2.51476113
1.40779695,2.51688097
1.41111165,2.52319405
1.39709452,2.50231884
1.41075073,2.52230486
1.41182407,2.51697555
1.40020227,2.51286494
1.41084723,2.51447685
1.4082098,2.51717888
1.41154053,2.52170748
1.4109547,2.52423
1.41044368,2.52371202
1.41271543,2.52360521
1.41201977,2.52818722
1.41035691,2.52600643
1.41075941,2.52743085
1.410543,2.52881622
1.41222312,2.53103996
1.41108794,2.52942348
1.40989817,2.52900279
1.41030454,2.52758528
1.41031095,2.5319237
1.41007788,2.52913527
1.40939227,2.52662251
1.40786118,2.52741094
1.40629776,2.52624663
1.40832025,2.52842715
1.40941174,2.52967131
1.40575043,2.5257984
1.40755602,2.52468705
1.40589513,2.52517142
1.40914076,2.52667097
1.406506,2.52451383
1.4092396,2.52441176
1.40359717,2.52392917
1.40745883,2.5241789
1.40195794,2.5233355
1.40868174,2.52412764
1.4125345,2.52333628
1.41019373,2.52009742
1.40240814,2.52061591
1.40771441,2.52501115
1.39697627,2.50757683
1.40693381,2.50946738
1.39749277,2.51565907
1.4077781,2.51377672
1.40386066,2.52238563
1.40975986,2.52101195
1.40935734,2.52817779
1.40739238,2.52823161
1.41448842,2.51128195
1.40910501,2.47798168
1.42801935,2.55881273
1.38951986,2.55041782
1.40329929,2.54126569
1.394422,2.53988037
1.42938005,2.55490797
1.39028602,2.54421475
1.39762493,2.53616786
1.4106537,2.56390208
1.38276013,2.55045412
1.38094738,2.52950268
1.36765238,2.53741914
1.37662378,2.53028331
1.35675866,2.51233739
1.3519683,2.5017583
1.34247548,2.52615913
1.34625191,2.54716044
1.43558452,2.65156723
1.44149356,2.63427169
1.45558997,2.62112459
1.47080813,2.60806011
1.4815276,2.60841683
1.48861629,2.60869653
1.50690122,2.62639491
1.50920267,2.62996322
1.52336631,2.64798494
1.51317393,2.65374837
1.54200577,2.6862306
1.55607146,2.70206792
1.55472683,2.74480618
4.26257771,3.42794634
4.35979348,3.42305003
4.49996146,3.5284793
4.52188339,3.48434547
4.58107499,3.44740883
4.5332747,3.45246303
4.53424858,3.55922491
4.53580984,3.57174915
4.53535471,3.55592382
4.51993485,3.52384
4.51967429,3.5353707
4.55702561,3.50981517
4.52097158,3.50258203
4.50252786,3.49060836
4.50712305,3.49035188
4.52667905,3.46790803
4.5040809,3.46910731
4.50438017,3.47360933
