x,y,radius
10,127,24.3781585693
9,133,24.534450531
10,135,23.6746463776
8,142,24.3699474335
8,144,23.5850524902
5,148,23.6238765717
3,148,22.7706947327
2,151,22.0908203125
110,30,14.9253997803
106,33,14.5603199005
102,34,14.8071928024
94,38,14.24010849
91,39,14.5603199005
81,43,14.430970192
75,45,14.5632305145
73,48,13.9536838531
68,50,13.4630117416
67,49,14.430970192
62,53,14.3179216385
59,55,14.8071928024
54,57,14.1143102646
53,57,13.6072015762
49,60,13.3422746658
47,61,13.8294172287
43,63,13.8388996124
40,65,13.1794204712
37,67,13.9405174255
35,69,13.0113811493
31,70,13.6417531967
29,72,13.2575521469
21,77,13.2854299545
18,78,13.9464254379
12,86,13.1764478683
7,91,11.6799860001
3,96,11.4701700211
