X,Y
-0.38621824,0.23262423
-0.38581696,0.22797248
0.22928759,0.17850829
0.22483981,0.17593857
0.22093202,0.17777171
0.21614775,0.17389609
0.20992455,0.16732402
0.20370508,0.15788436
0.20001827,0.14062989
0.19714872,0.13201866
0.19505844,0.11966806
0.19146093,0.10018421
0.18598194,0.0765476
0.18636352,0.06849507
0.18585751,0.04607378
0.18625998,0.02119117
0.19097648,0.00154987
0.18872289,-0.00739483
0.19046051,-0.03528013
0.19058359,-0.04174949
0.01020359,-1.95391202
0.01107116,-1.96342929
0.01157464,-1.96817777
0.01588764,-1.95640013
0.00498269,-1.95646692
0.00624352,-1.95459222
0.00730473,-1.95706163
0.00083038,-1.96366196
0.00595268,-1.95621791
0.00569818,-1.95310202
0.00200195,-1.96211735
-0.00248942,-1.9627069
-0.00422823,-1.95885964
-0.00459062,-1.95885179
-0.00699159,-1.95791708
-0.01498512,-1.9564231
-0.02035552,-1.95607599
-0.02026716,-1.94318602
0.09509306,-0.31561611
0.09353054,-0.32019249
0.09282485,-0.33342231
0.08871939,-0.34286974
0.08900514,-0.36014103
0.08964914,-0.36419123
0.09428987,-0.37504932
0.09811057,-0.38186787
0.10022736,-0.39315999
0.10397756,-0.39950548
0.11086124,-0.4126719
-0.01112255,-1.94870726
-0.00915486,-1.9474295
-0.00191036,-1.94402811
0.00264033,-1.94532486
0.02751673,-1.94617985
0.02684807,-1.95304747
0.04137601,-1.95344181
0.04804207,-1.95496485
0.05934251,-1.94342692
0.05484778,-1.93617816
0.04849032,-1.93432811
0.05150584,-1.93258116
0.04621048,-1.93326755
0.05098262,-1.93153168
0.05267381,-1.92224978
0.04729797,-1.92724087
0.05076687,-1.92475857
0.04983926,-1.92908283
0.04378955,-1.92363539
0.04103871,-1.92861725
0.04771909,-1.9259373
0.04395347,-1.92502763
0.04145497,-1.92107561
0.04162243,-1.92005472
0.04380131,-1.9176403
0.03836215,-1.92042131
0.04574192,-1.92341474
0.04904131,-1.91891929
0.05675223,-1.90354075
0.05211712,-1.90856948
0.04684153,-1.8981287
0.05052052,-1.89371424
0.04725325,-1.89474846
0.05450807,-1.89021524
0.05487216,-1.89374652
0.05666045,-1.89688056
0.05451281,-1.89643429
0.05054975,-1.90296695
0.05294356,-1.88775638
0.05688858,-1.89170513
0.04902967,-1.88637112
0.0456281,-1.89576116
0.04485144,-1.89598752
0.04438641,-1.88542445
0.0439835,-1.88521735
0.04313987,-1.89223823
0.04194438,-1.89027757
0.04263439,-1.88395612
0.04672637,-1.88581614
-1.07364722,-0.68529819
-1.0664849,-0.68129042
-1.05556561,-0.6840984
-1.05865273,-0.68079722
-1.0536322,-0.68468991
-1.05356972,-0.68503938
-1.05061152,-0.68751098
-1.04966135,-0.68398046
-1.04685271,-0.68230432
-1.04765208,-0.6868716
-1.04472651,-0.68869939
-1.04402537,-0.68951342
-1.04135367,-0.69130856
-1.0426684,-0.68947131
-1.04905053,-0.68902331
-1.04877363,-0.68892153
-1.04901396,-0.68772033
-1.04816846,-0.68552818
-1.05222956,-0.68330874
-1.06652051,-0.67361375
-1.05815666,-0.68293613
-1.05848359,-0.68180822
-1.05734869,-0.67787429
-1.05038896,-0.68040533
-1.049696,-0.67437316
-1.03715219,-0.68399584
-1.0496517,-0.67211869
-1.04598692,-0.67644929
-1.04066371,-0.68437146
-1.04441388,-0.67421444
-1.04118474,-0.67307764
-1.03523792,-0.67458951
-1.03299914,-0.67885109
-1.03209481,-0.67534328
-1.03321311,-0.68006755
-1.02884076,-0.67831294
-1.03215993,-0.67466489
-1.0282274,-0.68755651
-1.02643923,-0.68543479
-1.02211648,-0.69709023
-1.02160282,-0.70737152
-1.0220708,-0.70490959
-1.02236479,-0.70699271
-1.02042578,-0.70900474
-1.02162686,-0.70772456
-1.02086619,-0.71075934
-1.02305762,-0.7055981
-1.022431,-0.70983653
-1.0223341,-0.71254096
-1.01773548,-0.71490237
-1.01718892,-0.71132047
-1.01474886,-0.71576777
-1.01219926,-0.71982477
-1.01975812,-0.71862673
-1.02005945,-0.72736212
-1.02200386,-0.72215628
-1.02106074,-0.72552522
-1.01450424,-0.72936614
-1.01427764,-0.72584784
-1.01445582,-0.72075372
-1.01865324,-0.71997963
-1.01970716,-0.72425978
-1.01704928,-0.72285755
-1.01588448,-0.72401612
-1.01773936,-0.72393123
-1.01482118,-0.72146889
-1.0147017,-0.72139402
-1.01709963,-0.71888427
-1.0159594,-0.72104328
-1.01703696,-0.72248278
-1.01717004,-0.72041616
-1.02169215,-0.71555252
-1.01806241,-0.71585126
-1.01591628,-0.71968691
-1.01800023,-0.71756566
-1.01645073,-0.72047541
-1.01678164,-0.71674208
-1.01570588,-0.71218497
-1.01786426,-0.70936731
-1.01962508,-0.70727288
-1.02050032,-0.70546391
-1.01936264,-0.7081499
-1.02090645,-0.7115525
-1.02306185,-0.71038598
-1.02129197,-0.71372277
-1.0231237,-0.70816103
-1.02517158,-0.70566527
-1.01881239,-0.70697015
-1.01695386,-0.70635968
-1.01626764,-0.70930417
-1.01691717,-0.70188324
-1.01341165,-0.70304775
-1.01461828,-0.70374566
-1.0138627,-0.70373755
-1.01735928,-0.69935641
-1.01414066,-0.70292797
-1.01775078,-0.70040249
-1.02054589,-0.70007304
-1.01874622,-0.70567084
-1.02129397,-0.69917194
-1.01984187,-0.70572686
-1.02055208,-0.6988187
-1.01865066,-0.69521688
-1.01459341,-0.70035241
-1.01635161,-0.70054334
-1.02032451,-0.70293317
-1.01737191,-0.70298992
-1.01260699,-0.70574973
-1.01330097,-0.70397933
-1.01641187,-0.70995377
-1.01659296,-0.7107378
-1.0187186,-0.70832074
-1.02018369,-0.71195054
0.35621671,-0.31469822
0.35463383,-0.31420265
-1.03149951,-0.71955571
-1.03411234,-0.71677353
-1.03048169,-0.71667027
-1.0321904,-0.71678898
-1.03520152,-0.71426852
-1.03278526,-0.71142808
-1.02888085,-0.71176269
-1.02926439,-0.70744215
-1.02669581,-0.70539313
-1.02648532,-0.70475448
-1.02980841,-0.70369066
-1.03468574,-0.70167325
-1.03943681,-0.6950259
-1.03182801,-0.6994302
-1.03015918,-0.69622307
-1.03470602,-0.6948005
